Date,Income,Expenses,Debt,Description
2025-01-30,39000.0,26000.0,0.0,Salary
2025-01-30,1000.0,0,0,Tip
2025-01-30,0,1000.0,0,Groceries
2025-01-30,1000.0,0,0,Tip
2025-01-30,500.0,0,0,Tip
2025-01-30,0,300.0,0,Groceries
2025-01-30,1000.0,0,0,Tip
2025-01-30,1000.0,0,0,Tip
2025-01-30,0,4500.0,0,Rent
2025-01-30,1000.0,0,0,Tip
2025-01-30,1500.0,0,0,Tip
2025-01-30,1000.0,0,0,Tip
2025-01-30,0,300.0,0,Coffee
2025-01-30,300.0,0,0,Tip
2025-01-30,0,300.0,0,Coffee
2025-01-30,1000.0,0,0,Tip
2025-02-02,1000.0,0,0,Tip
